_group,orig.ident,celltype_major,n_cells,subtype,ARC_expr
CID4535__CAFs,CID4535,CAFs,101,ER+,1.4355955183197922
CID4463__Myeloid,CID4463,Myeloid,100,ER+,2.5685309825412532
CID3838__Endothelial,CID3838,Endothelial,99,HER2+,2.9775568024801977
CID4471__B-cells,CID4471,B-cells,97,ER+,0.0
CID4535__Plasmablasts,CID4535,Plasmablasts,96,ER+,0.8736168024658122
CID4530N__Myeloid,CID4530N,Myeloid,95,ER+,0.9639030821595719
CID3946__T-cells,CID3946,T-cells,92,TNBC,0.0
CID44971__PVL,CID44971,PVL,91,TNBC,3.648947121971529
CID4398__Plasmablasts,CID4398,Plasmablasts,91,ER+,0.0
CID44991__B-cells,CID44991,B-cells,88,TNBC,0.0
CID4398__PVL,CID4398,PVL,85,ER+,2.1123442989787096
CID3948__Endothelial,CID3948,Endothelial,85,ER+,3.931102865223572
CID3948__B-cells,CID3948,B-cells,85,ER+,0.0
CID4513__PVL,CID4513,PVL,82,TNBC,2.5343987001191848
CID4067__PVL,CID4067,PVL,80,ER+,4.832555677908097
CID4463__Endothelial,CID4463,Endothelial,79,ER+,3.691710186726955
CID4040__Plasmablasts,CID4040,Plasmablasts,74,ER+,0.9081275764795913
CID3921__PVL,CID3921,PVL,72,HER2+,4.5393177230888755
CID4461__T-cells,CID4461,T-cells,68,ER+,0.0
CID3948__PVL,CID3948,PVL,62,ER+,3.4666191720775448
CID45171__B-cells,CID45171,B-cells,56,HER2+,0.0
CID3941__B-cells,CID3941,B-cells,54,ER+,0.0
CID4535__B-cells,CID4535,B-cells,53,ER+,0.0
CID4067__B-cells,CID4067,B-cells,53,ER+,0.0
CID4461__Myeloid,CID4461,Myeloid,52,ER+,0.0
CID4530N__Plasmablasts,CID4530N,Plasmablasts,52,ER+,0.0
CID4471__Plasmablasts,CID4471,Plasmablasts,51,ER+,1.8485275575827713
CID4040__Myeloid,CID4040,Myeloid,50,ER+,4.046380216705433
CID3838__Plasmablasts,CID3838,Plasmablasts,49,HER2+,0.0
CID44971__Plasmablasts,CID44971,Plasmablasts,48,TNBC,1.6617295600974957
CID4461__PVL,CID4461,PVL,48,ER+,0.0
CID3838__B-cells,CID3838,B-cells,47,HER2+,0.0
CID44991__PVL,CID44991,PVL,46,TNBC,2.364261942665444
CID3941__Endothelial,CID3941,Endothelial,44,ER+,4.336531814665303
CID4513__B-cells,CID4513,B-cells,43,TNBC,0.0
CID4523__CAFs,CID4523,CAFs,42,TNBC,3.7554016437414472
CID4461__CAFs,CID4461,CAFs,41,ER+,0.0
CID44991__Endothelial,CID44991,Endothelial,40,TNBC,2.0070799351231474
CID4066__B-cells,CID4066,B-cells,38,HER2+,0.0
CID3941__Myeloid,CID3941,Myeloid,37,ER+,0.0
CID4515__Plasmablasts,CID4515,Plasmablasts,36,TNBC,1.5490913839666187
CID4398__B-cells,CID4398,B-cells,36,ER+,0.0
CID4515__Normal Epithelial,CID4515,Normal Epithelial,36,TNBC,2.7784279967040613
CID4465__B-cells,CID4465,B-cells,33,TNBC,0.0
CID4461__Plasmablasts,CID4461,Plasmablasts,32,ER+,0.0
CID45171__CAFs,CID45171,CAFs,32,HER2+,0.0
CID4463__PVL,CID4463,PVL,31,ER+,4.3360570726242615
CID3963__PVL,CID3963,PVL,28,TNBC,2.9811412952824217
CID4463__Normal Epithelial,CID4463,Normal Epithelial,26,ER+,1.2305576919845085
CID4463__CAFs,CID4463,CAFs,25,ER+,2.7071956851763677
CID3941__PVL,CID3941,PVL,25,ER+,5.068833775486364
CID3963__CAFs,CID3963,CAFs,23,TNBC,2.8171338704071833
CID44991__Normal Epithelial,CID44991,Normal Epithelial,22,TNBC,0.0
CID4535__Normal Epithelial,CID4535,Normal Epithelial,22,ER+,1.258808199059722
CID3586__PVL,CID3586,PVL,21,HER2+,4.482169926446496
CID4290A__Normal Epithelial,CID4290A,Normal Epithelial,18,ER+,3.174005487654031
CID45171__Endothelial,CID45171,Endothelial,15,HER2+,0.0
CID3948__CAFs,CID3948,CAFs,15,ER+,3.249423353011212
CID45171__PVL,CID45171,PVL,13,HER2+,0.0
CID4513__CAFs,CID4513,CAFs,13,TNBC,2.4178408830113964
CID4465__Normal Epithelial,CID4465,Normal Epithelial,10,TNBC,0.0
CID4523__PVL,CID4523,PVL,10,TNBC,0.0
